fecha,activo,precio_entrada,decision,score,rsi,prob_mc,stop_loss,take_profit,kelly,fecha_evaluacion,precio_evaluacion,retorno_pct,salida,acierto,evaluado
2026-06-29 10:30,BNB/USDT,554.68,MANTENER,6,22.612237822846154,42.28,2.0,10.0,28.4,2026-07-13,,,,,False
2026-06-29 10:30,BTC/USDT,60167.07,MANTENER,2,24.439397674667617,32.5,2.0,8.0,15.1,2026-07-13,,,,,False
2026-06-30 10:32,ADA/USDT,0.1449,MANTENER,2,20.68230277185502,28.08,3.0,8.0,16.9,2026-07-14,,,,,False
2026-06-30 10:32,SOL/USDT,73.64,MANTENER,-3,50.24410089503663,36.76,3.0,10.0,23.1,2026-07-14,,,,,False
2026-06-30 10:32,ETH/USDT,1583.57,MANTENER,3,24.814796998268235,38.9,3.0,10.0,18.3,2026-07-14,,,,,False
2026-06-30 10:32,BNB/USDT,549.9,MANTENER,6,26.462538487854857,42.92,2.0,10.0,28.4,2026-07-14,,,,,False
2026-06-30 10:32,BTC/USDT,59365.01,COMPRAR,5,24.513247456575584,33.379999999999995,2.0,8.0,15.1,2026-07-14,,,,,False
2026-07-01 10:35,ADA/USDT,0.1505,MANTENER,-2,32.91666666666667,26.92,3.0,8.0,16.9,2026-07-15,,,,,False
2026-07-01 10:35,SOL/USDT,75.34,MANTENER,-6,56.64646464646466,36.14,3.0,10.0,23.1,2026-07-15,,,,,False
2026-07-01 10:35,ETH/USDT,1575.63,MANTENER,2,27.48423626302925,38.18,3.0,10.0,18.3,2026-07-15,,,,,False
2026-07-01 10:35,BNB/USDT,543.5,MANTENER,6,25.78118490125816,43.98,2.0,10.0,28.4,2026-07-15,,,,,False
2026-07-01 10:35,BTC/USDT,58717.99,COMPRAR,5,25.963169100892728,30.620000000000005,2.0,8.0,15.1,2026-07-15,,,,,False
2026-07-02 10:30,ADA/USDT,0.1585,MANTENER,-4,45.075757575757564,28.499999999999996,3.0,8.0,16.9,2026-07-16,,,,,False
2026-07-02 10:30,SOL/USDT,80.25,MANTENER,-7,69.28989751098098,35.78,3.0,10.0,23.1,2026-07-16,,,,,False
2026-07-02 10:30,ETH/USDT,1646.12,MANTENER,-1,42.254796806101766,37.940000000000005,3.0,10.0,18.3,2026-07-16,,,,,False
2026-07-02 10:30,BNB/USDT,556.21,MANTENER,2,39.2387944358578,44.92,2.0,10.0,28.4,2026-07-16,,,,,False
2026-07-02 10:30,BTC/USDT,61228.0,MANTENER,-2,43.348965097262166,32.12,2.0,8.0,15.1,2026-07-16,,,,,False
